Inviato,Ricevuto,PackSize,Test,RTT,
55.157587,55.176105,8,1M,18518,
55.280972,55.304981,16,1M,24009,
55.355254,55.366878,32,1M,11624,
55.415262,55.435179,64,1M,19917,
55.485302,55.497071,128,1M,11769,
55.545352,55.564861,256,1M,19509,
55.615413,55.629836,512,1M,14423,
55.684852,55.699854,1024,1M,15002,
55.745761,55.765081,1500,1M,19320,
0.415932,0.427596,8,8M,11664,
0.512864,0.530783,16,8M,17919,
0.584977,0.604877,32,8M,19900,
0.693094,0.705428,64,8M,12334,
0.809085,0.821024,128,8M,11939,
0.874893,0.946992,256,8M,72099,
0.995699,1.14628,512,8M,150581,
1.91170,1.110168,1024,8M,18998,
1.217174,1.235692,1500,8M,18518,
5.729376,5.745603,8,10M,16227,
5.837013,5.860970,16,10M,23957,
5.941064,5.953008,32,10M,11944,
6.33182,6.51071,64,10M,17889,
6.137078,6.161097,128,10M,24019,
6.254740,6.270874,256,10M,16134,
6.365016,6.384738,512,10M,19722,
6.473017,6.489823,1024,10M,16806,
6.580948,6.600326,1500,10M,19378,
10.924925,10.945444,8,80M,20519,
11.37154,11.73965,16,80M,36811,
11.181129,11.217191,32,80M,36062,
11.331386,11.379672,64,80M,48286,
11.512115,11.571290,128,80M,59175,
11.697472,11.763632,256,80M,66160,
11.901624,11.973686,512,80M,72062,
12.123322,12.213229,1024,80M,89907,
12.367231,12.469173,1500,80M,101942,
23.254719,23.269166,8,1M,14447,
23.328786,23.350878,16,1M,22092,
23.424739,23.435111,32,1M,10372,
23.494683,23.505555,64,1M,10872,
23.564670,23.575681,128,1M,11011,
23.634736,23.645832,256,1M,11096,
23.704757,23.724223,512,1M,19466,
23.775900,23.795293,1024,1M,19393,
23.854749,23.870267,1500,1M,15518,
28.495674,28.515366,8,8M,19692,
28.596744,28.622717,16,8M,25973,
28.676689,28.694790,32,8M,18101,
28.772762,28.790770,64,8M,18008,
28.880770,28.910739,128,8M,29969,
28.964461,29.16798,256,8M,203519,
29.64921,29.79442,512,8M,14521,
29.164805,29.184840,1024,8M,20035,
29.270724,29.306803,1500,8M,36079,
33.777114,33.797073,8,10M,19959,
33.892758,33.916692,16,10M,23934,
33.978648,34.2752,32,10M,296552,
34.55092,34.84758,64,10M,29666,
34.138759,34.155454,128,10M,16695,
34.220769,34.238718,256,10M,17949,
34.310858,34.340686,512,10M,29828,
34.410688,34.440854,1024,10M,30166,
34.526641,34.556685,1500,10M,30044,
38.994775,39.10772,8,80M,112945,
39.75508,39.93051,16,80M,17543,
39.206903,39.268313,32,80M,61410,
39.404882,39.465718,64,80M,60836,
39.615827,39.681759,128,80M,65932,
39.830546,39.914773,256,80M,84227,
40.53723,40.149439,512,80M,95716,
40.317064,40.430061,1024,80M,112997,
40.620712,40.747784,1500,80M,127072,
26.86565,26.104372,8,1M,17807,
26.186032,26.212021,16,1M,25989,
26.266004,26.284116,32,1M,18112,
26.334521,26.345740,64,1M,11219,
26.394585,26.414149,128,1M,19564,
26.465156,26.484078,256,1M,18922,
26.534614,26.554250,512,1M,19636,
26.604201,26.624151,1024,1M,19950,
26.674216,26.689636,1500,1M,15420,
32.389976,32.404462,8,8M,14486,
32.513844,32.525777,16,8M,11933,
32.574674,32.646028,32,8M,71354,
32.694151,32.705913,64,8M,11762,
32.785973,32.803693,128,8M,17720,
32.916005,32.933759,256,8M,17754,
33.45907,33.63805,512,8M,17898,
33.180078,33.198916,1024,8M,18838,
33.305965,33.324474,1500,8M,18509,
36.626243,36.644464,8,10M,18221,
36.729974,36.760227,16,10M,30253,
36.818025,36.848035,32,10M,30010,
36.915937,36.940029,64,10M,24092,
36.993987,37.36096,128,10M,366973,
37.84446,37.96029,256,10M,11583,
37.169846,37.185956,512,10M,16110,
37.264082,37.287980,1024,10M,23898,
37.371930,37.389971,1500,10M,18041,
41.864655,41.884459,8,80M,19804,
41.962166,41.992617,16,80M,30451,
42.88236,42.130582,32,80M,42346,
42.264718,42.312638,64,80M,47920,
42.438515,42.498874,128,80M,60359,
42.630359,42.702298,256,80M,71939,
42.840650,42.918835,512,80M,78185,
43.74210,43.164720,1024,80M,90510,
43.330889,43.432493,1500,80M,101604,
51.107976,51.124489,8,1M,16513,
51.210192,51.233638,16,1M,23446,
51.293797,51.305645,32,1M,11848,
51.354288,51.365672,64,1M,11384,
51.414263,51.425707,128,1M,11444,
51.474459,51.485670,256,1M,11211,
51.534390,51.553480,512,1M,19090,
51.604338,51.624269,1024,1M,19931,
51.674439,51.694399,1500,1M,19960,
52.784437,52.796063,8,8M,11626,
52.855728,52.875800,16,8M,20072,
52.953837,52.964044,32,8M,10207,
53.59920,53.74000,64,8M,14080,
53.183823,53.195793,128,8M,11970,
53.253534,53.317886,256,8M,64352,
53.374051,53.445845,512,8M,71794,
53.503724,53.561893,1024,8M,58169,
53.623720,53.639246,1500,8M,15526,
58.64495,58.83959,8,10M,19464,
58.163689,58.193734,16,10M,30045,
58.287793,58.305745,32,10M,17952,
58.403763,58.415759,64,10M,11996,
58.515651,58.533761,128,10M,18110,
58.623811,58.643808,256,10M,19997,
58.727654,58.743698,512,10M,16044,
58.833823,58.848947,1024,10M,15124,
58.939810,58.959362,1500,10M,19552,
3.284710,3.303999,8,80M,19289,
3.392188,3.428459,16,80M,36271,
3.530161,3.572388,32,80M,42227,
3.679974,3.728490,64,80M,48516,
3.848000,3.901961,128,80M,53961,
4.28044,4.94232,256,80M,66188,
4.226150,4.304019,512,80M,77869,
4.429975,4.514108,1024,80M,84133,
4.670066,4.770203,1500,80M,100137,
55.277089,55.295288,8,1M,18199,
55.379203,55.403190,16,1M,23987,
55.469007,55.483672,32,1M,14665,
55.533182,55.544929,64,1M,11747,
55.593192,55.604914,128,1M,11722,
55.653196,55.664989,256,1M,11793,
55.713237,55.727650,512,1M,14413,
55.773245,55.793146,1024,1M,19901,
55.843384,55.863345,1500,1M,19961,
0.525382,0.545437,8,8M,20055,
0.632910,0.656976,16,8M,24066,
0.712738,0.723230,32,8M,10492,
0.800863,0.813141,64,8M,12278,
0.904951,0.934963,128,8M,30012,
0.983432,1.36928,256,8M,385848,
1.83497,1.97938,512,8M,14441,
1.182907,1.194970,1024,8M,12063,
1.243676,1.310888,1500,8M,67212,
5.803978,5.823455,8,10M,19477,
5.903753,5.923495,16,10M,19742,
5.993627,6.13530,32,10M,1401673,
6.103595,6.124006,64,10M,20411,
6.213850,6.233646,128,10M,19796,
6.314369,6.333766,256,10M,19397,
6.422999,6.438126,512,10M,15127,
6.512897,6.533776,1024,10M,20879,
6.603559,6.618776,1500,10M,15217,
6.705276,6.723663,8,80M,18387,
6.833740,6.869438,16,80M,35698,
6.971314,7.13190,32,80M,160586,
7.115061,7.169104,64,80M,54043,
7.289469,7.343511,128,80M,54042,
7.485558,7.551738,256,80M,66180,
7.707901,7.785413,512,80M,77512,
7.935396,8.25030,1024,80M,314904,
8.193968,8.295950,1500,80M,101982,
52.381507,52.403037,8,1M,21530,
52.494801,52.518923,16,1M,24122,
52.570992,52.582767,32,1M,11775,
52.631432,52.642743,64,1M,11311,
52.691381,52.702779,128,1M,11398,
52.751604,52.762808,256,1M,11204,
52.811568,52.830785,512,1M,19217,
52.881536,52.901442,1024,1M,19906,
52.951467,52.966448,1500,1M,14981,
57.641550,57.661583,8,8M,20033,
57.742820,57.766803,16,8M,23983,
57.820967,57.832723,32,8M,11756,
57.894851,57.912902,64,8M,18051,
57.961566,57.996966,128,8M,35400,
58.51251,58.62735,256,8M,11484,
58.130837,58.160821,512,8M,29984,
58.211637,58.226260,1024,8M,14623,
58.296971,58.316705,1500,8M,19734,
2.902858,2.921553,8,10M,18695,
3.16731,3.28698,16,10M,11967,
3.92745,3.116808,32,10M,24063,
3.170626,3.181193,64,10M,10567,
3.246709,3.258732,128,10M,12023,
3.326829,3.356816,256,10M,29987,
3.436825,3.472666,512,10M,35841,
3.542723,3.572770,1024,10M,30047,
3.646681,3.676828,1500,10M,30147,
8.120929,8.132950,8,80M,12021,
8.224978,8.261775,16,80M,36797,
8.357022,8.394428,32,80M,37406,
8.519334,8.568102,64,80M,48768,
8.687282,8.741816,128,80M,54534,
8.880158,8.945233,256,80M,65075,
9.83764,9.160986,512,80M,77222,
9.306418,9.394229,1024,80M,87811,
9.549460,9.652058,1500,80M,102598,
13.972239,13.990210,8,1M,17971,
14.66043,14.91977,16,1M,25934,
14.149856,14.161892,32,1M,12036,
14.219935,14.231857,64,1M,11922,
14.280398,14.299965,128,1M,19567,
14.350587,14.370043,256,1M,19456,
14.420534,14.439787,512,1M,19253,
14.490558,14.505097,1024,1M,14539,
14.551052,14.570417,1500,1M,19365,
19.202112,19.220405,8,8M,18293,
19.296388,19.319848,16,8M,23460,
19.373912,19.390173,32,8M,16261,
19.485978,19.500627,64,8M,14649,
19.609894,19.621854,128,8M,11960,
19.670622,19.741964,256,8M,71342,
19.791200,19.809883,512,8M,18683,
19.886046,19.905291,1024,8M,19245,
20.11905,20.30757,1500,8M,18852,
24.510453,24.522112,8,10M,11659,
24.605822,24.623823,16,10M,18001,
24.741865,24.760342,32,10M,18477,
24.849815,24.869743,64,10M,19928,
24.951800,24.969813,128,10M,18013,
25.55977,25.70751,256,10M,14774,
25.165748,25.185037,512,10M,19289,
25.268012,25.284880,1024,10M,16868,
25.375795,25.395729,1500,10M,19934,
29.722156,29.742410,8,80M,20254,
29.838104,29.886266,16,80M,48162,
30.6204,30.63253,32,80M,57049,
30.206329,30.272571,64,80M,66242,
30.416393,30.500576,128,80M,84183,
30.662656,30.752230,256,80M,89574,
30.914221,31.16590,512,80M,251679,
31.195135,31.314519,1024,80M,119384,
31.506363,31.638483,1500,80M,132120,
37.562167,37.580548,8,1M,18381,
37.667831,37.691721,16,1M,23890,
37.745712,37.759640,32,1M,13928,
37.810575,37.830479,64,1M,19904,
37.880552,37.891605,128,1M,11053,
37.950244,37.970174,256,1M,19930,
38.20654,38.40203,512,1M,19549,
38.90155,38.110587,1024,1M,20432,
38.160192,38.175658,1500,1M,15466,
42.831987,42.851879,8,8M,19892,
44.11693,44.30004,16,8M,18311,
44.135856,44.150198,32,8M,14342,
44.271680,44.289793,64,8M,18113,
44.401754,44.419790,128,8M,18036,
44.531737,44.549767,256,8M,18030,
44.667642,44.684932,512,8M,17290,
44.801701,44.820380,1024,8M,18679,
44.931817,44.950491,1500,8M,18674,
48.90786,48.101846,8,10M,11060,
48.165970,48.191864,16,10M,25894,
48.251684,48.283601,32,10M,31917,
48.339902,48.359803,64,10M,19901,
48.425702,48.443807,128,10M,18105,
48.507916,48.543694,256,10M,35778,
48.615813,48.645723,512,10M,29910,
48.721730,48.751637,1024,10M,29907,
48.831619,48.861669,1500,10M,30050,
53.300274,53.311966,8,80M,11692,
53.393856,53.423912,16,80M,30056,
53.520020,53.557183,32,80M,37163,
53.679893,53.722613,64,80M,42720,
53.842111,53.896323,128,80M,54212,
54.28124,54.93803,256,80M,65679,
54.231766,54.310119,512,80M,78353,
54.442033,54.526338,1024,80M,84305,
54.692707,54.794426,1500,80M,101719,
1.511837,1.530329,8,1M,18492,
1.615384,1.633384,16,1M,18000,
1.689735,1.701335,32,1M,11600,
1.750391,1.761489,64,1M,11098,
1.810339,1.821318,128,1M,10979,
1.870305,1.881380,256,1M,11075,
1.930288,1.944816,512,1M,14528,
1.990775,2.10474,1024,1M,114740,
2.60279,2.75361,1500,1M,15082,
6.760244,6.771661,8,8M,11417,
6.855288,6.879395,16,8M,24107,
6.929853,6.941257,32,8M,11404,
7.1488,7.25387,64,8M,23899,
7.79391,7.107443,128,8M,28052,
7.161306,7.179490,256,8M,18184,
7.245453,7.275378,512,8M,29925,
7.329428,7.371356,1024,8M,41928,
7.429515,7.445275,1500,8M,15760,
10.651177,10.665338,8,10M,14161,
10.719934,10.731231,16,10M,11297,
10.809252,10.821310,32,10M,12058,
10.913344,10.929360,64,10M,16016,
11.19328,11.29652,128,10M,10324,
11.121341,11.139387,256,10M,18046,
11.229359,11.249297,512,10M,19938,
11.331376,11.350173,1024,10M,18797,
11.439354,11.460206,1500,10M,20852,
15.889445,15.901406,8,80M,11961,
15.965458,15.989301,16,80M,23843,
16.103543,16.158292,32,80M,54749,
16.283709,16.350103,64,80M,66394,
16.505996,16.585082,128,80M,79086,
16.728430,16.818987,256,80M,90557,
16.991896,17.95025,512,80M,959250,
17.280485,17.393921,1024,80M,113436,
17.596240,17.728571,1500,80M,132331,
51.321165,51.340085,8,1M,18920,
51.458996,51.482982,16,1M,23986,
51.539061,51.550976,32,1M,11915,
51.599447,51.610927,64,1M,11480,
51.659473,51.670827,128,1M,11354,
51.719476,51.730786,256,1M,11310,
51.779397,51.799005,512,1M,19608,
51.849509,51.869464,1024,1M,19955,
51.919566,51.934674,1500,1M,15108,
56.551228,56.569258,8,8M,18030,
56.652973,56.682722,16,8M,29749,
56.738899,56.774851,32,8M,35952,
56.828887,56.840650,64,8M,11763,
56.909419,56.938812,128,8M,29393,
56.989533,57.8816,256,8M,980717,
57.74833,57.94043,512,8M,19210,
57.168764,57.204824,1024,8M,36060,
57.259227,57.300748,1500,8M,41521,
1.811002,1.829006,8,10M,18004,
1.906650,1.930583,16,10M,23933,
1.979521,2.44736,32,10M,534785,
2.152785,2.170785,64,10M,18000,
2.272857,2.288694,128,10M,15837,
2.378681,2.389696,256,10M,11015,
2.482797,2.498631,512,10M,15834,
2.588700,2.605080,1024,10M,16380,
2.690718,2.709376,1500,10M,18658,
7.64940,7.84991,8,80M,20051,
7.174515,7.197541,16,80M,23026,
7.287081,7.316812,32,80M,29731,
7.404751,7.435248,64,80M,30497,
7.555132,7.592121,128,80M,36989,
7.704798,7.747323,256,80M,42525,
7.873342,7.927393,512,80M,54051,
8.70970,8.137490,1024,80M,66520,
8.275365,8.347209,1500,80M,71844,
51.7528,51.27497,8,1M,19969,
51.100779,51.124563,16,1M,23784,
51.177256,51.188711,32,1M,11455,
51.237624,51.257532,64,1M,19908,
51.307268,51.318719,128,1M,11451,
51.367792,51.387243,256,1M,19451,
51.437268,51.457057,512,1M,19789,
51.507705,51.522166,1024,1M,14461,
51.577135,51.597775,1500,1M,20640,
56.223055,56.238248,8,8M,15193,
56.330895,56.354561,16,8M,23666,
56.407260,56.418605,32,8M,11345,
56.510713,56.527704,64,8M,16991,
56.626745,56.638590,128,8M,11845,
56.687451,56.758668,256,8M,71217,
56.807287,56.826734,512,8M,19447,
56.904637,56.921889,1024,8M,17252,
57.28737,57.47462,1500,8M,18725,
1.526920,1.539105,8,10M,12185,
1.622607,1.658775,16,10M,36168,
1.736758,1.760616,32,10M,23858,
1.838732,1.862728,64,10M,23996,
1.950494,1.968507,128,10M,18013,
2.54638,2.72685,256,10M,18047,
2.166546,2.178694,512,10M,12148,
2.276489,2.288497,1024,10M,12008,
2.390645,2.407778,1500,10M,17133,
6.738072,6.757149,8,80M,19077,
6.840861,6.859013,16,80M,18152,
6.960846,7.16522,32,80M,244324,
7.155705,7.221116,64,80M,65411,
7.353036,7.424955,128,80M,71919,
7.575295,7.665622,256,80M,90327,
7.833358,7.929929,512,80M,96571,
8.113906,8.226837,1024,80M,112931,
8.407125,8.533548,1500,80M,126423,
16.419129,16.438842,8,1M,19713,
16.544649,16.586487,16,1M,41838,
16.637470,16.656937,32,1M,19467,
16.707612,16.727558,64,1M,19946,
16.777482,16.796954,128,1M,19472,
16.847514,16.861991,256,1M,14477,
16.917037,16.936530,512,1M,19493,
16.987086,17.2046,1024,1M,285040,
17.56730,17.77824,1500,1M,21094,
21.648828,21.667162,8,8M,18334,
21.742875,21.768417,16,8M,25542,
21.822463,21.837004,32,8M,14541,
21.916278,21.940356,64,8M,24078,
21.996371,22.44360,128,8M,552011,
22.96744,22.108499,256,8M,11755,
22.194383,22.211693,512,8M,17310,
22.304450,22.328507,1024,8M,24057,
22.377564,22.450488,1500,8M,72924,
26.948435,26.966696,8,10M,18261,
27.52293,27.76253,16,10M,23960,
27.168345,27.198160,32,10M,29815,
27.284413,27.308397,64,10M,23984,
27.408499,27.426781,128,10M,18282,
27.518521,27.537018,256,10M,18497,
27.620324,27.637014,512,10M,16690,
27.726424,27.747456,1024,10M,21032,
27.830200,27.847117,1500,10M,16917,
32.208501,32.228300,8,80M,19799,
32.322582,32.359619,16,80M,37037,
32.478648,32.518592,32,80M,39944,
32.632718,32.680774,64,80M,48056,
32.800430,32.860809,128,80M,60379,
32.993298,33.58711,256,80M,534587,
33.202470,33.280614,512,80M,78144,
33.430923,33.518766,1024,80M,87843,
33.686677,33.789118,1500,80M,102441,
13.48216,13.67132,8,1M,18916,
13.183691,13.213769,16,1M,30078,
13.266395,13.277742,32,1M,11347,
13.326851,13.346441,64,1M,19590,
13.396786,13.407624,128,1M,10838,
13.456872,13.475999,256,1M,19127,
13.526424,13.545857,512,1M,19433,
13.596418,13.610983,1024,1M,14565,
13.665966,13.681441,1500,1M,15475,
19.377705,19.396270,8,8M,18565,
19.507656,19.525796,16,8M,18140,
19.637612,19.655738,32,8M,18126,
19.761620,19.776448,64,8M,14828,
19.897751,19.915917,128,8M,18166,
20.27795,20.46060,256,8M,18265,
20.157657,20.176078,512,8M,18421,
20.287582,20.306669,1024,8M,19087,
20.427774,20.446832,1500,8M,19058,
23.588290,23.606349,8,10M,18059,
23.697617,23.733690,16,10M,36073,
23.805619,23.829665,32,10M,24046,
23.901640,23.937675,64,10M,36035,
24.17710,24.47496,128,10M,29786,
24.131643,24.151623,256,10M,19980,
24.233602,24.257682,512,10M,24080,
24.347682,24.366257,1024,10M,18575,
24.457630,24.476155,1500,10M,18525,
28.826615,28.837735,8,80M,11120,
28.921834,28.946044,16,80M,24210,
29.48237,29.71941,32,80M,23704,
29.158346,29.188202,64,80M,29856,
29.283970,29.320148,128,80M,36178,
29.416173,29.458947,256,80M,42774,
29.584256,29.637908,512,80M,53652,
29.752670,29.812527,1024,80M,59857,
29.962105,30.28921,1500,80M,333184,
37.792000,37.806508,8,1M,14508,
37.881766,37.901651,16,1M,19885,
37.981324,37.996278,32,1M,14954,
38.46422,38.57584,64,1M,11162,
38.106379,38.125964,128,1M,19585,
38.176515,38.191272,256,1M,14757,
38.246437,38.261207,512,1M,14770,
38.316490,38.330947,1024,1M,14457,
38.386560,38.401657,1500,1M,15097,
43.37657,43.55867,8,8M,18210,
43.137498,43.163524,16,8M,26026,
43.217412,43.236068,32,8M,18656,
43.307534,43.325561,64,8M,18027,
43.376546,43.429584,128,8M,53038,
43.486083,43.505774,256,8M,19691,
43.589521,43.605653,512,8M,16132,
43.693597,43.717415,1024,8M,23818,
43.766139,43.833555,1500,8M,67416,
48.317589,48.338001,8,10M,20412,
48.423693,48.447445,16,10M,23752,
48.496023,48.561276,32,10M,65253,
48.669399,48.681384,64,10M,11985,
48.781301,48.796576,128,10M,15275,
48.893355,48.907325,256,10M,13970,
48.999437,49.15817,512,10M,283620,
49.105386,49.120901,1024,10M,15515,
49.207338,49.226549,1500,10M,19211,
53.561666,53.576701,8,80M,15035,
53.673899,53.709985,16,80M,36086,
53.835849,53.877890,32,80M,42041,
54.3330,54.58238,64,80M,54908,
54.189367,54.249341,128,80M,59974,
54.375320,54.442012,256,80M,66692,
54.597851,54.682498,512,80M,84647,
54.832377,54.926625,1024,80M,94248,
55.105854,55.213904,1500,80M,108050,
3.717893,3.737545,8,1M,19652,
3.827391,3.847265,16,1M,19874,
3.905838,3.917217,32,1M,11379,
3.965936,3.985942,64,1M,20006,
4.36132,4.47483,128,1M,11351,
4.105966,4.117403,256,1M,11437,
4.175431,4.195439,512,1M,20008,
4.246020,4.260599,1024,1M,14579,
4.316090,4.331562,1500,1M,15472,
8.967502,8.987476,8,8M,19974,
9.69179,9.99002,16,8M,29823,
9.156044,9.167032,32,8M,10988,
9.245075,9.256027,64,8M,10952,
9.365131,9.377135,128,8M,12004,
9.426142,9.497209,256,8M,71067,
9.546051,9.565266,512,8M,19215,
9.643098,9.660755,1024,8M,17657,
9.767093,9.786190,1500,8M,19097,
10.596067,10.615614,8,10M,19547,
10.666000,10.677001,16,10M,11001,
10.735623,10.747086,32,10M,11463,
10.796231,10.807065,64,10M,10834,
10.856150,10.867043,128,10M,10893,
10.916234,10.935718,256,10M,19484,
10.986154,11.5733,512,10M,580421,
11.56276,11.76242,1024,10M,19966,
11.126186,11.146165,1500,10M,19979,
11.197204,11.217196,8,80M,19992,
11.270974,11.293090,16,80M,22116,
11.353114,11.377211,32,80M,24097,
11.437188,11.461179,64,80M,23991,
11.527375,11.557225,128,80M,29850,
11.629172,11.664968,256,80M,35796,
11.737000,11.779055,512,80M,42055,
11.857045,11.905081,1024,80M,48036,
11.995074,12.49189,1500,80M,545885,
43.646668,43.666290,8,1M,19622,
43.769884,43.800043,16,1M,30159,
43.854145,43.865796,32,1M,11651,
43.914650,43.925937,64,1M,11287,
43.974752,43.994217,128,1M,19465,
44.44715,44.55834,256,1M,11119,
44.104889,44.119320,512,1M,14431,
44.174334,44.189315,1024,1M,14981,
44.244375,44.264700,1500,1M,20325,
48.880212,48.895343,8,8M,15131,
48.969983,48.995989,16,8M,26006,
49.55848,49.74255,32,8M,18407,
49.139865,49.163702,64,8M,23837,
49.214849,49.249747,128,8M,34898,
49.304273,49.315639,256,8M,11366,
49.383699,49.407776,512,8M,24077,
49.454859,49.474801,1024,8M,19942,
49.545740,49.564480,1500,8M,18740,
54.166185,54.184480,8,10M,18295,
54.269760,54.305850,16,10M,36090,
54.383815,54.407753,32,10M,23938,
54.485699,54.515796,64,10M,30097,
54.603793,54.615837,128,10M,12044,
54.695813,54.719780,256,10M,23967,
54.807709,54.825688,512,10M,17979,
54.917884,54.929761,1024,10M,11877,
55.29779,55.49800,1500,10M,20021,
59.385972,59.406205,8,80M,20233,
59.492147,59.516259,16,80M,24112,
59.605903,59.630520,32,80M,24617,
59.726096,59.751992,64,80M,25896,
59.848082,59.885324,128,80M,37242,
59.997924,0.39820,256,80M,41896,
0.136215,0.190845,512,80M,54630,
0.327893,0.388913,1024,80M,61020,
0.526820,0.598227,1500,80M,71407,
7.415850,7.436045,8,1M,20195,
7.547731,7.577656,16,1M,29925,
7.634202,7.645625,32,1M,11423,
7.694761,7.705443,64,1M,10682,
7.754379,7.765450,128,1M,11071,
7.814347,7.825543,256,1M,11196,
7.874424,7.893713,512,1M,19289,
7.944377,7.964681,1024,1M,20304,
8.24485,8.39269,1500,1M,14784,
12.635676,12.656060,8,8M,20384,
12.729804,12.750284,16,8M,20480,
12.833614,12.844284,32,8M,10670,
12.903516,12.927519,64,8M,24003,
12.974867,12.993846,128,8M,18979,
13.59534,13.77582,256,8M,18048,
13.133858,13.163614,512,8M,29756,
13.214547,13.229038,1024,8M,14491,
13.299695,13.329664,1500,8M,29969,
17.940174,17.954802,8,10M,14628,
18.31532,18.55493,16,10M,23961,
18.109477,18.169582,32,10M,60105,
18.277464,18.289449,64,10M,11985,
18.389457,18.403751,128,10M,14294,
18.505438,18.524358,256,10M,18920,
18.607476,18.623821,512,10M,16345,
18.713508,18.728745,1024,10M,15237,
18.815562,18.834304,1500,10M,18742,
23.154429,23.174760,8,80M,20331,
23.274746,23.294640,16,80M,19894,
23.374580,23.386058,32,80M,11478,
23.464596,23.484660,64,80M,20064,
23.564565,23.584280,128,80M,19715,
23.674293,23.685817,256,80M,11524,
23.755013,23.774296,512,80M,19283,
23.834783,23.855263,1024,80M,20480,
23.935325,23.954991,1500,80M,19666,
26.765803,26.785123,8,1M,19320,
26.865281,26.891288,16,1M,26007,
26.945391,26.964067,32,1M,18676,
27.14097,27.25276,64,1M,11179,
27.74104,27.85303,128,1M,11199,
27.134073,27.145328,256,1M,11255,
27.194159,27.213780,512,1M,19621,
27.264311,27.278623,1024,1M,14312,
27.324193,27.339215,1500,1M,15022,
31.995545,32.15468,8,8M,280077,
33.93596,33.105235,16,8M,11639,
33.207425,33.223684,32,8M,16259,
33.335349,33.354038,64,8M,18689,
33.465357,33.483723,128,8M,18366,
33.595281,33.613725,256,8M,18444,
33.725358,33.743770,512,8M,18412,
33.859411,33.878853,1024,8M,19442,
33.985171,34.4348,1500,8M,580823,
37.285648,37.304315,8,10M,18667,
37.373221,37.397207,16,10M,23986,
37.453356,37.501318,32,10M,47962,
37.553943,37.607201,64,10M,53258,
37.654420,37.707230,128,10M,52810,
37.754536,37.765234,256,10M,10698,
37.843342,37.859193,512,10M,15851,
37.945109,37.964094,1024,10M,18985,
38.53206,38.69091,1500,10M,15885,
40.785521,40.804023,8,80M,18502,
40.859133,40.874355,16,80M,15222,
40.924312,40.943797,32,80M,19485,
40.994349,41.5102,64,80M,589247,
41.54288,41.65115,128,80M,10827,
41.114397,41.133772,256,80M,19375,
41.184444,41.203546,512,80M,19102,
41.254409,41.274324,1024,80M,19915,
41.324480,41.339498,1500,80M,15018,
46.49344,46.69549,8,1M,20205,
46.163078,46.187240,16,1M,24162,
46.234381,46.245099,32,1M,10718,
46.293915,46.305138,64,1M,11223,
46.354043,46.365092,128,1M,11049,
46.413995,46.425077,256,1M,11082,
46.474071,46.493540,512,1M,19469,
46.543936,46.558395,1024,1M,14459,
46.604068,46.619062,1500,1M,14994,
51.283817,51.303641,8,8M,19824,
51.374577,51.393619,16,8M,19042,
51.464054,51.483808,32,8M,19754,
51.564475,51.584384,64,8M,19909,
51.654571,51.674016,128,8M,19445,
51.754425,51.774679,256,8M,20254,
51.854468,51.873947,512,8M,19479,
51.964297,51.979087,1024,8M,14790,
52.64383,52.84727,1500,8M,20344,
52.165916,52.185328,8,10M,19412,
52.267080,52.297146,16,10M,30066,
52.397156,52.415089,32,10M,17933,
52.511150,52.529008,64,10M,17858,
52.627155,52.643528,128,10M,16373,
52.733025,52.744583,256,10M,11558,
52.835168,52.853619,512,10M,18451,
52.943194,52.958550,1024,10M,15356,
53.44970,53.64328,1500,10M,19358,
57.385300,57.403657,8,80M,18357,
57.485144,57.511182,16,80M,26038,
57.607352,57.649910,32,80M,42558,
57.775503,57.824257,64,80M,48754,
57.955441,58.15552,128,80M,239889,
58.169618,58.235669,256,80M,66051,
58.379328,58.457483,512,80M,78155,
58.625523,58.715897,1024,80M,90374,
58.883397,58.986297,1500,80M,102900,
6.519498,6.534892,8,1M,15394,
6.614969,6.638812,16,1M,23843,
6.693158,6.704866,32,1M,11708,
6.753782,6.764852,64,1M,11070,
6.823304,6.834903,128,1M,11599,
6.883844,6.903301,256,1M,19457,
6.953766,6.968253,512,1M,14487,
7.13943,7.28364,1024,1M,14421,
7.83285,7.98816,1500,1M,15531,
11.776947,11.797218,8,8M,20271,
11.882879,11.906867,16,8M,23988,
12.8992,12.28225,32,8M,19233,
12.104737,12.158769,64,8M,54032,
12.213071,12.278758,128,8M,65687,
12.333445,12.410850,256,8M,77405,
12.463975,12.546683,512,8M,82708,
12.593942,12.650826,1024,8M,56884,
12.703579,12.719008,1500,8M,15429,
17.13788,17.25125,8,10M,11337,
17.94410,17.114297,16,10M,19887,
17.184688,17.203723,32,10M,19035,
17.264160,17.285141,64,10M,20981,
17.374473,17.394079,128,10M,19606,
18.535751,18.555033,256,10M,19282,
18.614318,18.633892,512,10M,19574,
18.713425,18.729028,1024,10M,15603,
18.783368,18.803799,1500,10M,20431,
18.884077,18.903696,8,80M,19619,
18.979341,19.8885,16,80M,970456,
19.111649,19.171147,32,80M,59498,
19.309568,19.375634,64,80M,66066,
19.514136,19.593688,128,80M,79552,
19.756737,19.845855,256,80M,89118,
20.19792,20.115052,512,80M,95260,
20.290003,20.403269,1024,80M,113266,
20.605598,20.738202,1500,80M,132604,
